,season,round,circuit_id,lat,long,country,date,url
185,2002,6,red_bull_ring,47.2197,14.7647,Austria,2002-05-12,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
186,2002,7,monaco,43.7347,7.42056,Monaco,2002-05-26,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
187,2002,8,villeneuve,45.5,-73.5228,Canada,2002-06-09,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
188,2002,9,nurburgring,50.3356,6.9475,Germany,2002-06-23,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
189,2002,10,silverstone,52.0786,-1.01694,UK,2002-07-07,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
190,2002,11,magny_cours,46.8642,3.16361,France,2002-07-21,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
191,2002,12,hockenheimring,49.3278,8.56583,Germany,2002-07-28,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
192,2002,13,hungaroring,47.5789,19.2486,Hungary,2002-08-18,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
193,2002,14,spa,50.4372,5.97139,Belgium,2002-09-01,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
194,2002,15,monza,45.6156,9.28111,Italy,2002-09-15,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
195,2002,16,indianapolis,39.795,-86.2347,USA,2002-09-29,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
196,2002,17,suzuka,34.8431,136.541,Japan,2002-10-13,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
197,2003,1,albert_park,-37.8497,144.968,Australia,2003-03-09,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
198,2003,2,sepang,2.76083,101.738,Malaysia,2003-03-23,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
199,2003,3,interlagos,-23.7036,-46.6997,Brazil,2003-04-06,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
200,2003,4,imola,44.3439,11.7167,Italy,2003-04-20,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
201,2003,5,catalunya,41.57,2.26111,Spain,2003-05-04,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
202,2003,6,red_bull_ring,47.2197,14.7647,Austria,2003-05-18,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
203,2003,7,monaco,43.7347,7.42056,Monaco,2003-06-01,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
204,2003,8,villeneuve,45.5,-73.5228,Canada,2003-06-15,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
205,2003,9,nurburgring,50.3356,6.9475,Germany,2003-06-29,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
206,2003,10,magny_cours,46.8642,3.16361,France,2003-07-06,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
207,2003,11,silverstone,52.0786,-1.01694,UK,2003-07-20,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
208,2003,12,hockenheimring,49.3278,8.56583,Germany,2003-08-03,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
209,2003,13,hungaroring,47.5789,19.2486,Hungary,2003-08-24,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
210,2003,14,monza,45.6156,9.28111,Italy,2003-09-14,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
211,2003,15,indianapolis,39.795,-86.2347,USA,2003-09-28,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
212,2003,16,suzuka,34.8431,136.541,Japan,2003-10-12,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
213,2004,1,albert_park,-37.8497,144.968,Australia,2004-03-07,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
214,2004,2,sepang,2.76083,101.738,Malaysia,2004-03-21,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
215,2004,3,bahrain,26.0325,50.5106,Bahrain,2004-04-04,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
216,2004,4,imola,44.3439,11.7167,Italy,2004-04-25,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
217,2004,5,catalunya,41.57,2.26111,Spain,2004-05-09,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
218,2004,6,monaco,43.7347,7.42056,Monaco,2004-05-23,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
219,2004,7,nurburgring,50.3356,6.9475,Germany,2004-05-30,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
220,2004,8,villeneuve,45.5,-73.5228,Canada,2004-06-13,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
221,2004,9,indianapolis,39.795,-86.2347,USA,2004-06-20,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
222,2004,10,magny_cours,46.8642,3.16361,France,2004-07-04,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
223,2004,11,silverstone,52.0786,-1.01694,UK,2004-07-11,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
224,2004,12,hockenheimring,49.3278,8.56583,Germany,2004-07-25,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
225,2004,13,hungaroring,47.5789,19.2486,Hungary,2004-08-15,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
226,2004,14,spa,50.4372,5.97139,Belgium,2004-08-29,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
227,2004,15,monza,45.6156,9.28111,Italy,2004-09-12,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
228,2004,16,shanghai,31.3389,121.22,China,2004-09-26,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
229,2004,17,suzuka,34.8431,136.541,Japan,2004-10-10,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
230,2004,18,interlagos,-23.7036,-46.6997,Brazil,2004-10-24,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
231,2005,1,albert_park,-37.8497,144.968,Australia,2005-03-06,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix
232,2005,2,sepang,2.76083,101.738,Malaysia,2005-03-20,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix
233,2005,3,bahrain,26.0325,50.5106,Bahrain,2005-04-03,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix
234,2005,4,imola,44.3439,11.7167,Italy,2005-04-24,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
235,2005,5,catalunya,41.57,2.26111,Spain,2005-05-08,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix
236,2005,6,monaco,43.7347,7.42056,Monaco,2005-05-22,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix
237,2005,7,nurburgring,50.3356,6.9475,Germany,2005-05-29,http://en.wikipedia.org/wiki/2005_European_Grand_Prix
238,2005,8,villeneuve,45.5,-73.5228,Canada,2005-06-12,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
239,2005,9,indianapolis,39.795,-86.2347,USA,2005-06-19,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
240,2005,10,magny_cours,46.8642,3.16361,France,2005-07-03,http://en.wikipedia.org/wiki/2005_French_Grand_Prix
241,2005,11,silverstone,52.0786,-1.01694,UK,2005-07-10,http://en.wikipedia.org/wiki/2005_British_Grand_Prix
242,2005,12,hockenheimring,49.3278,8.56583,Germany,2005-07-24,http://en.wikipedia.org/wiki/2005_German_Grand_Prix
243,2005,13,hungaroring,47.5789,19.2486,Hungary,2005-07-31,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
244,2005,14,istanbul,40.9517,29.405,Turkey,2005-08-21,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix
245,2005,15,monza,45.6156,9.28111,Italy,2005-09-04,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix
246,2005,16,spa,50.4372,5.97139,Belgium,2005-09-11,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix
247,2005,17,interlagos,-23.7036,-46.6997,Brazil,2005-09-25,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix
248,2005,18,suzuka,34.8431,136.541,Japan,2005-10-09,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
249,2005,19,shanghai,31.3389,121.22,China,2005-10-16,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
250,2006,1,bahrain,26.0325,50.5106,Bahrain,2006-03-12,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix
251,2006,2,sepang,2.76083,101.738,Malaysia,2006-03-19,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix
252,2006,3,albert_park,-37.8497,144.968,Australia,2006-04-02,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
253,2006,4,imola,44.3439,11.7167,Italy,2006-04-23,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix
254,2006,5,nurburgring,50.3356,6.9475,Germany,2006-05-07,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
255,2006,6,catalunya,41.57,2.26111,Spain,2006-05-14,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
256,2006,7,monaco,43.7347,7.42056,Monaco,2006-05-28,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
257,2006,8,silverstone,52.0786,-1.01694,UK,2006-06-11,http://en.wikipedia.org/wiki/2006_British_Grand_Prix
258,2006,9,villeneuve,45.5,-73.5228,Canada,2006-06-25,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
259,2006,10,indianapolis,39.795,-86.2347,USA,2006-07-02,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
260,2006,11,magny_cours,46.8642,3.16361,France,2006-07-16,http://en.wikipedia.org/wiki/2006_French_Grand_Prix
261,2006,12,hockenheimring,49.3278,8.56583,Germany,2006-07-30,http://en.wikipedia.org/wiki/2006_German_Grand_Prix
262,2006,13,hungaroring,47.5789,19.2486,Hungary,2006-08-06,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
263,2006,14,istanbul,40.9517,29.405,Turkey,2006-08-27,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
264,2006,15,monza,45.6156,9.28111,Italy,2006-09-10,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
265,2006,16,shanghai,31.3389,121.22,China,2006-10-01,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
266,2006,17,suzuka,34.8431,136.541,Japan,2006-10-08,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
267,2006,18,interlagos,-23.7036,-46.6997,Brazil,2006-10-22,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
268,2007,1,albert_park,-37.8497,144.968,Australia,2007-03-18,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
269,2007,2,sepang,2.76083,101.738,Malaysia,2007-04-08,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
270,2007,3,bahrain,26.0325,50.5106,Bahrain,2007-04-15,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
271,2007,4,catalunya,41.57,2.26111,Spain,2007-05-13,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
272,2007,5,monaco,43.7347,7.42056,Monaco,2007-05-27,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
273,2007,6,villeneuve,45.5,-73.5228,Canada,2007-06-10,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
274,2007,7,indianapolis,39.795,-86.2347,USA,2007-06-17,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
275,2007,8,magny_cours,46.8642,3.16361,France,2007-07-01,http://en.wikipedia.org/wiki/2007_French_Grand_Prix
276,2007,9,silverstone,52.0786,-1.01694,UK,2007-07-08,http://en.wikipedia.org/wiki/2007_British_Grand_Prix
277,2007,10,nurburgring,50.3356,6.9475,Germany,2007-07-22,http://en.wikipedia.org/wiki/2007_European_Grand_Prix
278,2007,11,hungaroring,47.5789,19.2486,Hungary,2007-08-05,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
279,2007,12,istanbul,40.9517,29.405,Turkey,2007-08-26,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
280,2007,13,monza,45.6156,9.28111,Italy,2007-09-09,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
281,2007,14,spa,50.4372,5.97139,Belgium,2007-09-16,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
282,2007,15,fuji,35.3717,138.927,Japan,2007-09-30,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix
283,2007,16,shanghai,31.3389,121.22,China,2007-10-07,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
284,2007,17,interlagos,-23.7036,-46.6997,Brazil,2007-10-21,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix
285,2008,1,albert_park,-37.8497,144.968,Australia,2008-03-16,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
286,2008,2,sepang,2.76083,101.738,Malaysia,2008-03-23,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
287,2008,3,bahrain,26.0325,50.5106,Bahrain,2008-04-06,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
288,2008,4,catalunya,41.57,2.26111,Spain,2008-04-27,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
289,2008,5,istanbul,40.9517,29.405,Turkey,2008-05-11,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
290,2008,6,monaco,43.7347,7.42056,Monaco,2008-05-25,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
291,2008,7,villeneuve,45.5,-73.5228,Canada,2008-06-08,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
292,2008,8,magny_cours,46.8642,3.16361,France,2008-06-22,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
293,2008,9,silverstone,52.0786,-1.01694,UK,2008-07-06,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
294,2008,10,hockenheimring,49.3278,8.56583,Germany,2008-07-20,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
295,2008,11,hungaroring,47.5789,19.2486,Hungary,2008-08-03,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
296,2008,12,valencia,39.4589,-0.331667,Spain,2008-08-24,http://en.wikipedia.org/wiki/2008_European_Grand_Prix
297,2008,13,spa,50.4372,5.97139,Belgium,2008-09-07,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
298,2008,14,monza,45.6156,9.28111,Italy,2008-09-14,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
299,2008,15,marina_bay,1.2914,103.864,Singapore,2008-09-28,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
300,2008,16,fuji,35.3717,138.927,Japan,2008-10-12,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
301,2008,17,shanghai,31.3389,121.22,China,2008-10-19,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
302,2008,18,interlagos,-23.7036,-46.6997,Brazil,2008-11-02,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
303,2009,1,albert_park,-37.8497,144.968,Australia,2009-03-29,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
304,2009,2,sepang,2.76083,101.738,Malaysia,2009-04-05,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
305,2009,3,shanghai,31.3389,121.22,China,2009-04-19,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
306,2009,4,bahrain,26.0325,50.5106,Bahrain,2009-04-26,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
307,2009,5,catalunya,41.57,2.26111,Spain,2009-05-10,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
308,2009,6,monaco,43.7347,7.42056,Monaco,2009-05-24,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
309,2009,7,istanbul,40.9517,29.405,Turkey,2009-06-07,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
310,2009,8,silverstone,52.0786,-1.01694,UK,2009-06-21,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
311,2009,9,nurburgring,50.3356,6.9475,Germany,2009-07-12,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
312,2009,10,hungaroring,47.5789,19.2486,Hungary,2009-07-26,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
313,2009,11,valencia,39.4589,-0.331667,Spain,2009-08-23,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
314,2009,12,spa,50.4372,5.97139,Belgium,2009-08-30,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
315,2009,13,monza,45.6156,9.28111,Italy,2009-09-13,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
316,2009,14,marina_bay,1.2914,103.864,Singapore,2009-09-27,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
317,2009,15,suzuka,34.8431,136.541,Japan,2009-10-04,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
318,2009,16,interlagos,-23.7036,-46.6997,Brazil,2009-10-18,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
319,2009,17,yas_marina,24.4672,54.6031,UAE,2009-11-01,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
320,2010,1,bahrain,26.0325,50.5106,Bahrain,2010-03-14,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix
321,2010,2,albert_park,-37.8497,144.968,Australia,2010-03-28,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix
322,2010,3,sepang,2.76083,101.738,Malaysia,2010-04-04,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix
323,2010,4,shanghai,31.3389,121.22,China,2010-04-18,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix
324,2010,5,catalunya,41.57,2.26111,Spain,2010-05-09,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix
325,2010,6,monaco,43.7347,7.42056,Monaco,2010-05-16,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix
326,2010,7,istanbul,40.9517,29.405,Turkey,2010-05-30,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
327,2010,8,villeneuve,45.5,-73.5228,Canada,2010-06-13,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix
328,2010,9,valencia,39.4589,-0.331667,Spain,2010-06-27,http://en.wikipedia.org/wiki/2010_European_Grand_Prix
329,2010,10,silverstone,52.0786,-1.01694,UK,2010-07-11,http://en.wikipedia.org/wiki/2010_British_Grand_Prix
330,2010,11,hockenheimring,49.3278,8.56583,Germany,2010-07-25,http://en.wikipedia.org/wiki/2010_German_Grand_Prix
331,2010,12,hungaroring,47.5789,19.2486,Hungary,2010-08-01,http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix
332,2010,13,spa,50.4372,5.97139,Belgium,2010-08-29,http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix
333,2010,14,monza,45.6156,9.28111,Italy,2010-09-12,http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix
334,2010,15,marina_bay,1.2914,103.864,Singapore,2010-09-26,http://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix
335,2010,16,suzuka,34.8431,136.541,Japan,2010-10-10,http://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix
336,2010,17,yeongam,34.7333,126.417,Korea,2010-10-24,http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix
337,2010,18,interlagos,-23.7036,-46.6997,Brazil,2010-11-07,http://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix
338,2010,19,yas_marina,24.4672,54.6031,UAE,2010-11-14,http://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix
339,2011,1,albert_park,-37.8497,144.968,Australia,2011-03-27,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix
340,2011,2,sepang,2.76083,101.738,Malaysia,2011-04-10,http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix
341,2011,3,shanghai,31.3389,121.22,China,2011-04-17,http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix
342,2011,4,istanbul,40.9517,29.405,Turkey,2011-05-08,http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix
343,2011,5,catalunya,41.57,2.26111,Spain,2011-05-22,http://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix
344,2011,6,monaco,43.7347,7.42056,Monaco,2011-05-29,http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix
345,2011,7,villeneuve,45.5,-73.5228,Canada,2011-06-12,http://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix
346,2011,8,valencia,39.4589,-0.331667,Spain,2011-06-26,http://en.wikipedia.org/wiki/2011_European_Grand_Prix
347,2011,9,silverstone,52.0786,-1.01694,UK,2011-07-10,http://en.wikipedia.org/wiki/2011_British_Grand_Prix
348,2011,10,nurburgring,50.3356,6.9475,Germany,2011-07-24,http://en.wikipedia.org/wiki/2011_German_Grand_Prix
349,2011,11,hungaroring,47.5789,19.2486,Hungary,2011-07-31,http://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix
350,2011,12,spa,50.4372,5.97139,Belgium,2011-08-28,http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix
351,2011,13,monza,45.6156,9.28111,Italy,2011-09-11,http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix
352,2011,14,marina_bay,1.2914,103.864,Singapore,2011-09-25,http://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix
353,2011,15,suzuka,34.8431,136.541,Japan,2011-10-09,http://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix
354,2011,16,yeongam,34.7333,126.417,Korea,2011-10-16,http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix
355,2011,17,buddh,28.3487,77.5331,India,2011-10-30,http://en.wikipedia.org/wiki/2011_Indian_Grand_Prix
356,2011,18,yas_marina,24.4672,54.6031,UAE,2011-11-13,http://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix
357,2011,19,interlagos,-23.7036,-46.6997,Brazil,2011-11-27,http://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix
358,2012,1,albert_park,-37.8497,144.968,Australia,2012-03-18,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
359,2012,2,sepang,2.76083,101.738,Malaysia,2012-03-25,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
360,2012,3,shanghai,31.3389,121.22,China,2012-04-15,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
361,2012,4,bahrain,26.0325,50.5106,Bahrain,2012-04-22,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
362,2012,5,catalunya,41.57,2.26111,Spain,2012-05-13,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
363,2012,6,monaco,43.7347,7.42056,Monaco,2012-05-27,http://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
364,2012,7,villeneuve,45.5,-73.5228,Canada,2012-06-10,http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
365,2012,8,valencia,39.4589,-0.331667,Spain,2012-06-24,http://en.wikipedia.org/wiki/2012_European_Grand_Prix
366,2012,9,silverstone,52.0786,-1.01694,UK,2012-07-08,http://en.wikipedia.org/wiki/2012_British_Grand_Prix
367,2012,10,hockenheimring,49.3278,8.56583,Germany,2012-07-22,http://en.wikipedia.org/wiki/2012_German_Grand_Prix
368,2012,11,hungaroring,47.5789,19.2486,Hungary,2012-07-29,http://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix
369,2012,12,spa,50.4372,5.97139,Belgium,2012-09-02,http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix
370,2012,13,monza,45.6156,9.28111,Italy,2012-09-09,http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
